EDUCATIONORGANIZATIONCATEGORYDESCRIPTOR,GRADELEVELDESCRIPTOR,SCHOOLID,SCHOOLYEAR,LOCALEDUCATIONAGENCYID,SCHOOLYEAR,ADDRESSTYPEDESCRIPTOR,STATEABBREVIATIONDESCRIPTOR,CITY,POSTALCODE,STREETNUMBERNAME,LOCALEDESCRIPTOR,APARTMENTROOMSUITENUMBER,BUILDINGSITENUMBER,CONGRESSIONALDISTRICT,COUNTYFIPSCODE,DONOTPUBLISHINDICATOR,LATITUDE,LONGITUDE,NAMEOFCOUNTY,BEGINDATE,ENDDATE,ADMINISTRATIVEFUNDINGCONTROLDESCRIPTOR,CHARTERAPPROVALAGENCYTYPEDESCRIPTOR,CHARTERSTATUSDESCRIPTOR,EDUCATIONORGANIZATIONIDENTIFICATIONSYSTEMDESCRIPTOR,IDENTIFICATIONCODE,INDICATORDESCRIPTOR,INDICATORGROUPDESCRIPTOR,INDICATORLEVELDESCRIPTOR,DESIGNATEDBY,INDICATORVALUE,BEGINDATE,ENDDATE,INSTITUTIONTELEPHONENUMBERTYPEDESCRIPTOR,TELEPHONENUMBER,INTERNATIONALADDRESSES_ADDRESSTYPEDESCRIPTOR,INTERNATIONALADDRESSES_COUNTRYDESCRIPTOR,INTERNATIONALADDRESSES_ADDRESSLINE1,INTERNATIONALADDRESSES_ADDRESSLINE2,ADDRESSLINE3,ADDRESSLINE4,BEGINDATE,ENDDATE,INTERNATIONALADDRESSES_LATITUDE,INTERNATIONALADDRESSES_LONGITUDE,INTERNETACCESSDESCRIPTOR,MAGNETSPECIALPROGRAMEMPHASISSCHOOLDESCRIPTOR,NAMEOFINSTITUTION,OPERATIONALSTATUSDESCRIPTOR,SCHOOLCATEGORYDESCRIPTOR,SCHOOLTYPEDESCRIPTOR,SHORTNAMEOFINSTITUTION,TITLEIPARTASCHOOLDESIGNATIONDESCRIPTOR,WEBSITE,POSTSECONDARYINSTITUTIONID,TX_PKFULLDAYWAIVER,TX_ADDITIONALDAYSPROGRAM,TX_NUMBEROFBULLYINGINCIDENTS,TX_NUMBEROFCYBERBULLYINGINCIDENTS,TX_CAMPUSENROLLMENTTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NSLPTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NUMBERCHARTERSTUDENTSENROLLED,TX_CHARTEREDUCATIONALENROLLMENTCAPACITY,TX_CHARTERADMISSIONWAITLIST,TX_BEGINDATE,TX_ENDDATE,TX_ELOTYPE,TX_BEGINDATE,TX_ENDDATE,TX_ELOACTIVITY,TX_ELODAYSSCHEDULEDPERYEAR,TX_ELOMINUTESSCHEDULEDPERDAY
,09-Dec,2,2022,227901,2022,Campus,TX,Austin,78703,1715 W Cesar Chavez St,,,,,,N,30.272551,-97.766925,,,,,,,,,,,,,,,,Work,(512) 414-2505,,,,,,,,,,,,,Austin High,,,CAMPUS,Austin High,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,4,2022,227901,2022,Campus,TX,Austin,78758,1201 Payton Gin Rd,,,,,,N,30.359683,-97.70739,,,,,,,,,,,,,,,,Work,(512) 414-2514,,,,,,,,,,,,,Navarro High,,,CAMPUS,Navarro High,Y,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,5,2022,227901,2022,Campus,TX,Austin,78756,5600 Sunshine Dr,,,,,,N,30.327142,-97.730022,,,,,,,,,,,,,,,,Work,(512) 414-2519,,,,,,,,,,,,,McCallum High,,,CAMPUS,McCallum High,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,6,2022,227901,2022,Campus,TX,Austin,78752,7104 Berkman Dr,,,,,,N,30.323644,-97.68963,,,,,,,,,,,,,,,,Work,(512) 414-2523,,,,,,,,,,,,,Northeast High,,,CAMPUS,Northeast High,Y,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,7,2022,227901,2022,Campus,TX,Austin,78704,1211 E Oltorf St,,,,,,N,30.234663,-97.74396,,,,,,,,,,,,,,,,Work,(512) 414-2527,,,,,,,,,,,,,Travis High,,,CAMPUS,Travis High,Y,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,8,2022,227901,2022,Campus,TX,Austin,78745,5601 Menchaca Rd ,,,,,,N,30.213188,-97.79712,,,,,,,,,,,,,,,,Work,(512) 414-2532,,,,,,,,,,,,,Crockett High,,,CAMPUS,Crockett High,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,9,2022,227901,2022,Campus,TX,Austin,78759,8403 Mesa Dr,,,,,,N,30.374928,-97.752415,,,,,,,,,,,,,,,,Work,(512) 414-2538,,,,,,,,,,,,,Anderson High,,,CAMPUS,Anderson High,N,,,N,,,,,,,,,,,,,,,,,,,,
,06-Dec,12,2022,227901,2022,Campus,TX,Austin,78702,4900 Gonzales St,,,,,,N,,,,,,,,,,,,,,,,,,Work,(512) 414-2554,,,,,,,,,,,,,Alternative Learning Center,,,CAMPUS,Alternative Learning Center,N,,,,,,,,,,,,,,,,,,,,,,,
,09-Dec,13,2022,227901,2022,Campus,TX,Austin,78749,4103 W Slaughter Ln,,,,,,N,30.18836,-97.85849,,,,,,,,,,,,,,,,Work,(512) 414-5247,,,,,,,,,,,,,Bowie High,,,CAMPUS,Bowie High,N,,,N,,,,,,,,,,,,,,,,,,,,
,09-Dec,14,2022,227901,2022,Campus,TX,Austin,78724,7309 Lazy Creek Dr,,,,,,N,30.3124,-97.655811,,,,,,,,,,,,,,,,Work,(512) 414-2543,,,,,,,,,,,,,LBJ High,,,CAMPUS,LBJ High,Y,,,N,,,,,,,,,,,,,,,,,,,,
